geo_id,geo_name,geography_type,parent_metro_code,median_household_income,year
38240,"Pinehurst-Southern Pines, NC",metro,,86080,2024
38300,"Pittsburgh, PA",metro,,75762,2024
38340,"Pittsfield, MA",metro,,76013,2024
38540,"Pocatello, ID",metro,,66499,2024
38660,"Ponce, PR",metro,,22247,2024
38860,"Portland-South Portland, ME",metro,,92175,2024
38900,"Portland-Vancouver-Hillsboro, OR-WA",metro,,97436,2024
38940,"Port St. Lucie, FL",metro,,74514,2024
39150,"Prescott Valley-Prescott, AZ",metro,,69613,2024
39300,"Providence-Warwick, RI-MA",metro,,87040,2024
39340,"Provo-Orem-Lehi, UT",metro,,100704,2024
39380,"Pueblo, CO",metro,,64010,2024
39460,"Punta Gorda, FL",metro,,69952,2024
39540,"Racine-Mount Pleasant, WI",metro,,78096,2024
39580,"Raleigh-Cary, NC",metro,,100103,2024
39660,"Rapid City, SD",metro,,75255,2024
39740,"Reading, PA",metro,,79777,2024
39820,"Redding, CA",metro,,72636,2024
39900,"Reno, NV",metro,,87485,2024
40060,"Richmond, VA",metro,,86679,2024
40140,"Riverside-San Bernardino-Ontario, CA",metro,,89662,2024
40220,"Roanoke, VA",metro,,68761,2024
40340,"Rochester, MN",metro,,91882,2024
40380,"Rochester, NY",metro,,76284,2024
40420,"Rockford, IL",metro,,68033,2024
40484,"Rockingham County-Strafford County, NH",division,14460,110161,2024
40580,"Rocky Mount, NC",metro,,59636,2024
40660,"Rome, GA",metro,,65565,2024
40900,"Sacramento-Roseville-Folsom, CA",metro,,97188,2024
40980,"Saginaw, MI",metro,,60622,2024
41060,"St. Cloud, MN",metro,,76497,2024
41100,"St. George, UT",metro,,80632,2024
41140,"St. Joseph, MO-KS",metro,,65005,2024
41180,"St. Louis, MO-IL",metro,,80196,2024
41420,"Salem, OR",metro,,78900,2024
41500,"Salinas, CA",metro,,97230,2024
41540,"Salisbury, MD",metro,,73802,2024
41620,"Salt Lake City-Murray, UT",metro,,98083,2024
41660,"San Angelo, TX",metro,,68419,2024
41700,"San Antonio-New Braunfels, TX",metro,,76213,2024
41740,"San Diego-Chula Vista-Carlsbad, CA",metro,,106268,2024
41780,"Sandusky, OH",metro,,73502,2024
41860,"San Francisco-Oakland-Fremont, CA",metro,,136027,2024
41884,"San Francisco-San Mateo-Redwood City, CA",division,41860,148514,2024
41940,"San Jose-Sunnyvale-Santa Clara, CA",metro,,162111,2024
41980,"San Juan-Bayamón-Caguas, PR",metro,,29276,2024
42020,"San Luis Obispo-Paso Robles, CA",metro,,97446,2024
42034,"San Rafael, CA",division,41860,149091,2024
42100,"Santa Cruz-Watsonville, CA",metro,,111093,2024
42140,"Santa Fe, NM",metro,,79071,2024
42200,"Santa Maria-Santa Barbara, CA",metro,,98161,2024
42220,"Santa Rosa-Petaluma, CA",metro,,104674,2024
42340,"Savannah, GA",metro,,77180,2024
42540,"Scranton--Wilkes-Barre, PA",metro,,65158,2024
42644,"Seattle-Bellevue-Kent, WA",division,42660,124746,2024
42660,"Seattle-Tacoma-Bellevue, WA",metro,,115177,2024
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",metro,,73491,2024
42700,"Sebring, FL",metro,,54897,2024
43100,"Sheboygan, WI",metro,,73094,2024
43300,"Sherman-Denison, TX",metro,,72182,2024
43340,"Shreveport-Bossier City, LA",metro,,55925,2024
43420,"Sierra Vista-Douglas, AZ",metro,,59742,2024
43580,"Sioux City, IA-NE-SD",metro,,75192,2024
43620,"Sioux Falls, SD-MN",metro,,82754,2024
43640,"Slidell-Mandeville-Covington, LA",metro,,81202,2024
43780,"South Bend-Mishawaka, IN-MI",metro,,67217,2024
43900,"Spartanburg, SC",metro,,64382,2024
44060,"Spokane-Spokane Valley, WA",metro,,77488,2024
44100,"Springfield, IL",metro,,75895,2024
44140,"Springfield, MA",metro,,71306,2024
44180,"Springfield, MO",metro,,65071,2024
44220,"Springfield, OH",metro,,63132,2024
44300,"State College, PA",metro,,74291,2024
44420,"Staunton-Stuarts Draft, VA",metro,,73544,2024
44700,"Stockton-Lodi, CA",metro,,92179,2024
44940,"Sumter, SC",metro,,56693,2024
45060,"Syracuse, NY",metro,,75492,2024
45104,"Tacoma-Lakewood, WA",division,42660,99564,2024
